LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
24;active;ak.tIv;a-a.c-k.t-t.i-I.v-v.e-*;6;6;2;word_active;1;VC.CVC.CVv;0
25;is;Iz;i-I.s-z;2;2;1;word_is;1;VC;0
25;as;az;a-a.s-z;2;2;1;word_as;1;VC;0
25;has;haz;h-h.a-a.s-z;3;3;1;word_has;1;CVC;0
25;his;hIz;h-h.i-I.s-z;3;3;1;word_his;1;CVC;0
25;beds;bedz;b-b.e-E.d-d.s-z;4;4;1;word_beds;1;CVCC;0
25;hens;hEnz;h-h.e-E.n-n.s-z;4;4;1;word_hens;1;CVCC;0
25;kids;kIdz;k-k.i-I.d-d.s-z;4;4;1;word_kids;1;CVCC;0
25;wins;wInz;w-w.i-I.n-n.s-z;4;4;1;word_wins;1;CVCC;0
25;hands;handz;h-h.a-a.n-n.d-d.s-z;5;5;1;word_hands;1;CVCCC;0
25;visit;vIzIt;v-v.i-I.s-z.i-I.t-t;5;5;1;word_visit;1;CVCVC;0
25;sells;sElz;s-s.e-E.l-l.l-l.s-z;5;5;1;word_sells;1;CVCC;0
25;fills;fIlz;f-f.i-I.l-l.l-l.s-z;5;5;1;word_fills;1;CVCC;0
25;crabs;krabz;c-k.r-r.a-a.b-b.s-z;5;5;1;word_crabs;1;CCVCC;0
25;plums;plVmz;p-p.l-l.u-V.m-m.s-z;5;5;1;word_plums;1;CCVCC;0
25;shells;Selz;sh-S.e-E.l-l.l-l.s-z;5;6;1;word_shells;1;CVCC;0
25;runs;rVnz;r-r.u-V.n-n.s-z;4;4;1;word_runs;1;CVCC;0
25;dresses;drEs.Ez;d-d.r-r.e-E.s-s.s-s.e-E.s-z;7;7;2;word_dresses;1;CCVC.VC;0
25;s;z;s-z;1;1;1;phoneme_s;0;C;0
25;bugs;bVgz;b-b.u-V.g-g.s-z;4;4;1;word_bugs;1;CVCC;0
25;drums;drVmz;d-d.r-r.u-V.m-m.s-z;5;5;1;word_drums;1;CCVCC;0
25;candles;kan.dlz;c-k.a-a.n-n.d-d.l-l.e-*.s-z;7;7;2;word_candles;1;CVC.CCC;0
25;legs;lEgz;l-l.e-E.g-g.s-z;4;4;1;word_legs;1;CVCC;0
25;swims;swImz;s-s.w-w.i-I.m-m.s-z;5;5;1;word_swims;1;CCVCC;0
25;cackles;kak.klz;c-k.a-a.ck-k.l-l.e-*.s-z;6;7;2;word_cackles;1;CVC.CCC;0
25;eggs;Egz;e-E.g-g.g-g.s-z;4;4;1;word_eggs;1;VCC;0
25;pigs;pIgz;p-p.i-I.g-g.s-z.;4;4;1;word_pigs;1;CVCC;0
25;gives;gIvz;g-g.i-I.v-v.e-*.s-z;5;5;1;word_gives;1;CVCC;0
25;brushes;brVS.Ez;b-b.r-r.u-V.sh-S.e-E.s-z;6;7;2;word_brushes;1;CCVC.VC;0
25;battles;bat.tlz;b-b.a-a.t-t.t-t.l-l.e-*.s-z;7;7;2;word_battles;1;CVC.CCC;0
25;dogs;dogz;d-d.o-o.g-g.s-z;4;4;1;word_dogs;1;CVCC;0
25;present;prEz.Ent;p-p.r-r.e-E.s-z.e-E.n-n.t-t;7;7;2;word_present;1;CCVC.VCC;0
26;jam;Jam;j-J.a-a.m-m;3;3;1;word_jam;1;CVC;0
26;jet;Jet;j-J.e-E.t-t;3;3;1;word_jet;1;CVC;0
26;jog;Jog;j-J.o-o.g-g;3;3;1;word_jog;1;CVC;0
26;jig;Jig;j-J.i-I.g-g;3;3;1;word_jig;1;CVC;0
26;jab;Jab;j-J.a-a.b-b;3;3;1;word_jab;1;CVC;0
26;job;Job;j-J.o-o.b-b;3;3;1;word_job;1;CVC;0
26;jump;JVmp;j-J.u-V.m-m.p-p;4;4;1;word_jump;1;CVCC;0
26;just;JVst;j-J.u-V.s-s.t-t;4;4;1;word_just;1;CVCC;0
26;jumble;JVm.bl;j-J.u-V.m-m.b-b.l-l.e-*;6;6;2;word_jumble;1;CVC.CC;0
26;jug;JVg;j-J.u-V.g-g;3;3;1;word_jug;1;CVC;0
26;Jon;Jon;j-J.o-o.n-n;3;3;1;word_Jon;0;CVC;1
26;Jan;Jan;j-J.a-a.n-n;3;3;1;word_Jan;0;CVC;1
26;Jess;Jes;j-J.e-E.s-s.s-s;4;4;1;word_Jess;0;CVC;1
27;yum;jVm;y-j.u-V.m-m;3;3;1;word_yum;1;CVC;0
27;yes;jEs;y-j.e-E.s-s;3;3;1;word_yes;1;CVC;0
27;yap;jap;y-j.a-a.p-p;3;3;1;word_yap;1;CVC;0
27;yet;jEt;y-j.e-E.t-t;3;3;1;word_yet;1;CVC;0
27;yell;jEl;y-j.e-E.l-l.l-l;4;4;1;word_yell;1;CVC;0
28;sizzle;sizl;s-s.i-I.z-z.z-z.l-l.e-*;6;6;1;word_sizzle;1;CVCC;0
28;zig;zig;z-z.i-I.g-g;3;3;1;word_zig;1;CVC;0
28;zag;zag;z-z.a-a.g-g;3;3;1;word_zag;1;CVC;0
28;fizz;fIz;f-f.i-I.z-z.z-z;4;4;1;word_fizz;1;CVC;0
29;ox;ox;o-o.x-x;2;2;1;word_ox;1;VC;0
29;ax;ax;a-a.x-x;2;2;1;word_ax;1;VC;0
29;box;box;b-b.o-o.x-x;3;3;1;word_box;1;CVC;0
29;wax;wax;w-w.a-a.x-x;3;3;1;word_wax;1;CVC;0
29;fix;fIx;f-f.i-I.x-x;3;3;1;word_fix;1;CVC;0
29;six;sIx;s-s.i-I.x-x;3;3;1;word_six;1;CVC;0
29;expensive;Ex.pEn.sIv;e-E.x-x.p-p.e-E.n-n.s-s.i-I.v-v.e-*;9;9;3;word_expensive;1;VC.CVC.CVC;0
29;Max;max;m-m.a-a.x-x;3;3;1;word_Max;1;CVC;0
30;much;mVC;m-m.u-V.ch-C;3;4;1;word_much;1;CVC;0
30;chin;CIn;ch-C.i-I.n-n;3;4;1;word_chin;1;CVC;0
30;chip;CIp;ch-C.i-I.p-p;3;4;1;word_chip;1;CVC;0
30;chop;Cop;ch-C.o-o.p-p;3;4;1;word_chop;1;CVC;0
30;chat;Cat;ch-C.a-a.t-t;3;4;1;word_chat;1;CVC;0
30;pinch;pInC;p-p.i-I.n-n.ch-C;4;5;1;word_pinch;1;CVCC;0
30;bunch;bVnC;b-b.u-V.n-n.ch-C;4;5;1;word_bunch;1;CVCC;0
30;chuck;CVk;ch-C.u-V.ck-k;3;5;1;word_chuck;1;CVC;0
30;chest;CEst;ch-C.e-E.s-s.t-t;4;5;1;word_chest;1;CVCC;0
30;chess;CEs;ch-C.e-E.s-s.s-s;4;5;1;word_chess;1;CVC;0
30;check;CEk;ch-C.e-E.ck-k;3;5;1;word_check;1;CVC;0
30;champ;Camp;ch-C.a-a.m-m.p-p;4;5;1;word_champ;1;CVCC;0
30;bench;bEnC;b-b.e-E.n-n.ch-C;4;5;1;word_bench;1;CVCC;0
30;crunch;krVnC;c-k.r-r.u-V.n-n.ch-C;5;6;1;word_crunch;1;CCVCC;0
30;belch;bElC;b-b.e-E.l-l.ch-C;4;5;1;word_belch;1;CVCC;0
30;chomp;Comp;ch-C.o-o.m-m.p-p;4;5;1;word_chomp;1;CVCC;0
30;chips;CIps;ch-C.i-I.p-p.s-s;4;5;1;word_chips;1;CVCC;0
30;lunch;lVnC;l-l.u-V.n-n.ch-C;4;5;1;word_lunch;1;CVCC;0
30;chops;Cops;ch-C.o-o.p-p.s-s;4;5;1;word_chops;1;CVCC;0
30;children;CIl.drEn;ch-C.i-I.l-l.d-d.r-r.e-E.n-n;7;8;2;word_children;1;CVC.CCVC;0
31;shopping;Sop.pIN;sh-S.o-o.p-p.p-p.i-I.ng-N;6;8;2;word_shopping;1;CVC.CVC;0
31;bang;baN;b-b.a-a.ng-N;3;4;1;word_bang;1;CVC;0
31;sing;sIN;s-s.i-I.ng-N;3;4;1;word_sing;1;CVC;0
31;gong;goN;g-g.o-o.ng-N;3;4;1;word_gong;1;CVC;0
