LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
22;moto;;m-m.o-o.t-t.o-o;;;;Word_moto;;;0
22;moustache;;m-m.ou-u.s-s.t-t.a-a.ch-S.e-#;;;;Word_moustache ;;;0
22;nature;;n-n.a-a.t-t.u-y.r-R.e-#;;;;Word_nature;;;0
22;natte;;n-n.a-a.tt-t.e-#;;;;Word_natte;;;0
22;nourriture;;n-n.ou-u.rr-R.i-i.t-t.u-y.r-R.e-#;;;;Word_nourriture;;;0
22;route;;r-R.ou-u.t-t.e-#;;;;Word_route;;;0
22;chute;;ch-S.u-y.t-t.e-#;;;;Word_chute;;;0
22;tarte;;t-t.a-a.r-R.t-t.e-#;;;;Word_tarte;;;0
22;tartine;;t-t.a-a.r-R.t-t.i-i.n-n.e-#;;;;Word_tartine;;;0
22;tache;;t-t.a-a.ch-S.e-#;;;;Word_tache;;;0
22;tasse;;t-t.a-a.ss-s.e-#;;;;Word_tasse;;;0
22;télé;;t-t.é-e.l-l.é-e;;;;Word_tsym002lsym002;;;0
22;tissu;;t-t.i-i.ss-s.u-y;;;;Word_tissu;;;0
22;tir;;t-t.i-i.r-R;;;;Word_tir;;;0
13;assis;;a-a.ss-s.i-i.s-#;;;;-;;;0
22;tire;;t-t.i-i.r-R.e-#;;;;-;;;0
22;tomate;;t-t.o-o.m-m.a-a.t-t.e-#;;;;Word_tomate;;;0
22;torche;;t-t.o-o.r-R.ch-S.e-#;;;;Word_torche ;;;0
22;tortue;;t-t.o-o.r-R.t-t.u-y.e-#;;;;Word_tortue;;;0
22;trou;;t-t.r-R.ou-u;;;;Word_trou;;;0
22;tour;;t-t.ou-u.r-R;;;;Word_tour;;;0
22;tournesol;;t-t.ou-u.r-R.n-n.e-*.s-s.o-o.l-l;;;;Word_tournesol;;;0
22;tournevis;;t-t.ou-u.r-R.n-n.e-*.v-v.i-i.s-s;;;;Word_tournevis;;;0
22;vitre;;v-v.i-i.t-t.r-R.e-#;;;;Word_vitre ;;;0
22;te;;t-t.e-*;;;;Word_te;;;0
22;tu;;t-t.u-y;;;;Word_tu;;;0
13;salue;;s-s.a-a.l-l.u-y.e-#;;;;-;;;0
15;foule;;f-f.ou-u.l-l.e-#;;;;-;;;0
20;reniflé;;r-R.e-*.n-n.i-i.f-f.l-l.é-e;;;;-;;;0
22;ortie;;o-o.r-R.t-t.i-i.e-#;;;;-;;;0
22;Tony;;t-t.o-o.n-n.y-i;;;;-;;;1
22;trouvé;;t-t.r-R.ou-u.v-v.é-e;;;;-;;;0
23;adore;;a-a.d-d.o-o.r-R.e-#;;;;Word_adore;;;0
23;admire;;a-a.d-d.m-m.i-i.r-R.e-#;;;;Word_admire;;;0
23;de;;d-d.e-*;;;;Word_de;;;0
23;demi;;d-d.e-*.m-m.i-i;;;;Word_demi;;;0
23;devenir;;d-d.e-*.v-v.e-*.n-n.i-i.r-R;;;;Word_devenir ;;;0
23;deux;;d-d.eu-2.x-#;;;;Word_deux;;;0
23;dame;;d-d.a-a.m-m.e-#;;;;Word_dame;;;0
23;date;;d-d.a-a.t-t.e-#;;;;Word_date ;;;0
23;dé;;d-d.é-e;;;;Word_dsym002;;;0
23;démolir;;d-d.é-e.m-m.o-o.l-l.i-i.r-R;;;;Word_dsym002molir;;;0
23;détour;;d-d.é-e.t-t.ou-u.r-R;;;;Word_dsym002tour;;;0
23;déjeuné;;d-d.é-e.j-Z.eu-9.n-n.é-e;;;;Word_dsym002jeunsym002;;;0
23;dire;;d-d.i-i.r-R.e-#;;;;Word_dire;;;0
23;domino;;d-d.o-o.m-m.i-i.n-n.o-o;;;;Word_domino;;;0
23;doré;;d-d.o-o.r-R.é-e;;;;Word_dorsym002;;;0
23;dormir;;d-d.o-o.r-R.m-m.i-i.r-R;;;;Word_dormir;;;0
23;doux;;d-d.ou-u.x-#;;;;Word_doux;;;0
23;douche;;d-d.ou-u.ch-S.e-#;;;;Word_douche ;;;0
